,Concentration gradient,,
V vs. RHE (iRu corrected),Gaussian number,,
1.41,0.0008167350433669872,0.14831369601547348,0.36188071997901616
1.42,0.0006275337974603618,0.1314880517369902,0.41618975240659956
1.43,0.00047980418142498134,0.11548807463292933,0.45600340867296596
1.44,0.0003650580360026663,0.1004925367853399,0.47598751889521096
1.45,0.0002763953767853403,0.08663159208952445,0.47334065833082045
1.46,0.0002082430963844983,0.07398856426619402,0.44843843207086415
1.47,0.0001561282270185858,0.06260351555400674,0.40474604143202175
1.48,0.00011648318043434947,0.05247816757716375,0.34802718106478536
1.49,8.64800613470459e-05,0.04358172538741725,0.28509820785489237
1.5,6.389100725382006e-05,0.035857168787751484,0.22249824015559203
1.51,4.6971503075593026e-05,0.029227615748614995,0.165428161333703
1.52,3.436371886940474e-05,0.023602423601624616,0.11717718883204617
